#Ls   Lt  mu  ma  nfluxes AxialCurrent Err
8 8 0.70 0.01 0 -0.001276007972580 0.049420994184382
8 8 0.70 0.01 1 0.438270810811399 0.038985238093035
8 8 0.70 0.01 2 0.420765133092811 0.052014601062154
8 8 0.70 0.01 3 0.337993273878701 0.064673756796136
8 8 0.70 0.01 4 0.418758616548594 0.058450484298606
8 8 0.70 0.01 5 0.538962267577227 0.068605800919347
8 8 0.70 0.01 6 0.454068965120448 0.053731127068108
8 8 0.70 0.01 7 0.407287544369467 0.063359523071686
8 8 0.70 0.01 8 0.282111248701367 0.054724358484382
8 8 0.70 0.01 9 0.350000063480536 0.049018683953434
8 8 0.70 0.01 10 0.312502537362188 0.056172580312436
8 8 0.70 0.01 11 0.187926756916952 0.058519752903027
8 8 0.70 0.01 12 0.197909106088162 0.078185324810340
8 8 0.70 0.01 13 0.172231324205990 0.060480515340514
8 8 0.70 0.01 14 0.113005831331087 0.050236342559782
8 8 0.70 0.01 15 0.062147892789497 0.054317746017018
8 8 0.70 0.01 16 0.006096006423011 0.067546635343224
8 8 0.70 0.01 17 -0.062630903653726 0.059803796389792
8 8 0.70 0.01 18 -0.114591972191758 0.071247711097262
8 8 0.70 0.01 19 -0.157720889206620 0.055186062717562
8 8 0.70 0.01 20 -0.180196919472069 0.096048551980941
8 8 0.70 0.01 21 -0.222469035759362 0.060165414965875
8 8 0.70 0.01 22 -0.322394431659532 0.062054115643269
8 8 0.70 0.01 23 -0.343524121125546 0.054378371901072
8 8 0.70 0.01 24 -0.287927462636619 0.049518313052265
8 8 0.70 0.01 25 -0.424334540154594 0.069217514724201
8 8 0.70 0.01 26 -0.511544802265845 0.066891056204971
8 8 0.70 0.01 27 -0.553470147033698 0.061834528946850
8 8 0.70 0.01 28 -0.439754460462504 0.061881257000743
8 8 0.70 0.01 29 -0.381379384595912 0.067568556758433
8 8 0.70 0.01 30 -0.518512420707042 0.045763387219604
8 8 0.70 0.01 31 -0.480129682507328 0.052526609523394
8 8 0.70 0.01 32 -0.009364758909623 0.035236301633848
