#Ls   Lt  mu  ma  nfluxes AxialCurrent Err
24 24 0.00 0.001 0 -0.000155693062776 0.000584011319099
24 24 0.00 0.001 1 nan nan
24 24 0.00 0.001 2 -0.008059030937905 0.000500956194484
24 24 0.00 0.001 3 -0.016559576130781 0.000567408740830
24 24 0.00 0.001 4 -0.023697699081448 0.000525137549121
24 24 0.00 0.001 5 nan nan
24 24 0.00 0.001 6 nan nan
24 24 0.00 0.001 7 nan nan
24 24 0.00 0.001 8 nan nan
24 24 0.00 0.001 9 -0.017354907826596 0.000471684727266
24 24 0.00 0.001 10 -0.009806322754257 0.000344410980457
24 24 0.00 0.001 11 -0.003512127336108 0.000453306214949
24 24 0.00 0.001 12 nan nan
24 24 0.00 0.001 13 -0.000637955906012 0.000475843863858
24 24 0.00 0.001 14 nan nan
24 24 0.00 0.001 15 nan nan
24 24 0.00 0.001 16 -0.021152392904554 0.000489750317346
24 24 0.00 0.001 17 nan nan
24 24 0.00 0.001 18 nan nan
24 24 0.00 0.001 19 nan nan
24 24 0.00 0.001 20 -0.024348999201228 0.000457884311604
24 24 0.00 0.001 21 -0.017199812588853 0.000482521732189
24 24 0.00 0.001 22 -0.011132690373147 0.000444882146076
24 24 0.00 0.001 23 nan nan
24 24 0.00 0.001 24 nan nan
24 24 0.00 0.001 25 0.000382141488829 0.000602592736252
24 24 0.00 0.001 26 -0.003099560778438 0.000617020998263
24 24 0.00 0.001 27 nan nan
24 24 0.00 0.001 28 nan nan
24 24 0.00 0.001 29 nan nan
24 24 0.00 0.001 30 nan nan
24 24 0.00 0.001 31 nan nan
24 24 0.00 0.001 32 nan nan
24 24 0.00 0.001 33 nan nan
24 24 0.00 0.001 34 -0.009197710632049 0.000662139690271
24 24 0.00 0.001 35 nan nan
24 24 0.00 0.001 36 0.000425660412732 0.000554929833524
24 24 0.00 0.001 37 0.000676902387995 0.000588520811748
24 24 0.00 0.001 38 -0.002497007738850 0.000553738270637
24 24 0.00 0.001 39 -0.005342538838833 0.000555569206157
24 24 0.00 0.001 40 nan nan
24 24 0.00 0.001 41 nan nan
24 24 0.00 0.001 42 -0.018251981023275 0.000541095037232
24 24 0.00 0.001 43 -0.019979270717458 0.000564919348065
24 24 0.00 0.001 44 nan nan
24 24 0.00 0.001 45 nan nan
24 24 0.00 0.001 46 nan nan
