#path,beta,am_s,amu,amu,amu,nflux,"a, fm","mu, MeV","T, MeV","qB, Gev^2",J^A_z,"J^A_z, err",freeJ^A_z,"freeJ^A_z, err"
beta_3.6562_m0.06703_muoverpit_0.0_b2/,3.6562,0.06703,0,0,0,2,0.15963,0,206.014424668543,0.099984753106449,nan,nan,-0.002978979487558,0.002674414814928
beta_3.6562_m0.06703_muoverpit_0.1_b2/,3.6562,0.06703,0.05236,0.05236,0,2,0.15963,64.7160809371672,206.014424668543,0.099984753106449,nan,nan,-0.015346318221043,0.002854992992051
beta_3.6562_m0.06703_muoverpit_0.14_b2/,3.6562,0.06703,0.0733,0.0733,0,2,0.15963,90.5975693791894,206.014424668543,0.099984753106449,nan,nan,-0.025303478444244,0.002812739284641
beta_3.6562_m0.06703_muoverpit_0.17_b2/,3.6562,0.06703,0.08901,0.08901,0,2,0.15963,110.014865626762,206.014424668543,0.099984753106449,nan,nan,-0.023969696275783,0.003418363931303
beta_3.6562_m0.06703_muoverpit_0.20_b2/,3.6562,0.06703,0.10472,0.10472,0,2,0.15963,129.432161874334,206.014424668543,0.099984753106449,nan,nan,-0.02762014430774,0.002261879057151
beta_3.6562_m0.06703_muoverpit_0.22_b2/,3.6562,0.06703,0.11519,0.11519,0,2,0.15963,142.372906095345,206.014424668543,0.099984753106449,nan,nan,-0.027449918810605,0.002903234089173
beta_3.6562_m0.06703_muoverpit_0.24_b2/,3.6562,0.06703,0.12566,0.12566,0,2,0.15963,155.313650316357,206.014424668543,0.099984753106449,nan,nan,-0.031399696133668,0.002255210286369
beta_3.6562_m0.06703_muoverpit_0.275_b2/,3.6562,0.06703,0.14399,0.14399,0,2,0.15963,177.96922257721,206.014424668543,0.099984753106449,nan,nan,-0.031546231792114,0.003210763259581
beta_3.45887_m0.152226_muoverpit_0.0_b6/,3.45887,0.152226,0,0,0,6,0.276459,0,118.954646475027,0.10000520282745,0.003578185163669,0.003400253224128,-0.025468949385566,0.002061626169668
beta_3.45887_m0.152226_muoverpit_0.1_b6/,3.45887,0.152226,0.05236,0.05236,0,6,0.276459,37.3676675384053,118.954646475027,0.10000520282745,-0.007024393070835,0.003727080261346,-0.037224171661644,0.002628988801215
beta_3.45887_m0.152226_muoverpit_0.14_b6/,3.45887,0.152226,0.0733,0.0733,0,6,0.276459,52.3118798809227,118.954646475027,0.10000520282745,-0.002609520682566,0.003811898716013,-0.043777447105598,0.002477575181796
beta_3.45887_m0.152226_muoverpit_0.17_b6/,3.45887,0.152226,0.08901,0.08901,0,6,0.276459,63.5236074788667,118.954646475027,0.10000520282745,0.005111562035074,0.003075216063747,-0.045891066443492,0.00267550336754
beta_3.45887_m0.152226_muoverpit_0.20_b6/,3.45887,0.152226,0.10472,0.10472,0,6,0.276459,74.7353350768107,118.954646475027,0.10000520282745,-0.004418626341108,0.003332567083927,-0.04746868901171,0.002675296093712
beta_3.45887_m0.152226_muoverpit_0.22_b6/,3.45887,0.152226,0.11519,0.11519,0,6,0.276459,82.2074412480693,118.954646475027,0.10000520282745,-0.006189790588419,0.003371882066633,-0.049704096894026,0.0030495190413
beta_3.45887_m0.152226_muoverpit_0.24_b6/,3.45887,0.152226,0.12566,0.12566,0,6,0.276459,89.679547419328,118.954646475027,0.10000520282745,0.00015119499175,0.003272926239313,-0.053173969918762,0.002645352186824
beta_3.45887_m0.152226_muoverpit_0.275_b6/,3.45887,0.152226,0.14399,0.14399,0,6,0.276459,102.761085730615,118.954646475027,0.10000520282745,9.5516312109E-05,0.003408628297694,-0.06120449181451,0.002637077418023
beta_3.5364_m0.10805_muoverpit_0.0_b4/,3.5364,0.10805,0,0,0,4,0.225722,0,145.692854971334,0.100010367273256,nan,nan,-0.01334547844909,0.003001879650006
beta_3.5364_m0.10805_muoverpit_0.1_b4/,3.5364,0.10805,0.05236,0.05236,0,4,0.225722,45.7670408732866,145.692854971334,0.100010367273256,nan,nan,-0.02891584943504,0.002983064021799
beta_3.5364_m0.10805_muoverpit_0.14_b4/,3.5364,0.10805,0.0733,0.0733,0,4,0.225722,64.0703608864001,145.692854971334,0.100010367273256,nan,nan,-0.043101565917629,0.002563409183353
beta_3.5364_m0.10805_muoverpit_0.17_b4/,3.5364,0.10805,0.08901,0.08901,0,4,0.225722,77.8022213164867,145.692854971334,0.100010367273256,nan,nan,-0.042994378362632,0.002856913354227
beta_3.5364_m0.10805_muoverpit_0.20_b4/,3.5364,0.10805,0.10472,0.10472,0,4,0.225722,91.5340817465732,145.692854971334,0.100010367273256,nan,nan,-0.050754828082263,0.002930177061946
beta_3.5364_m0.10805_muoverpit_0.22_b4/,3.5364,0.10805,0.11519,0.11519,0,4,0.225722,100.68574175313,145.692854971334,0.100010367273256,nan,nan,-0.04628601155891,0.003224265209442
beta_3.5364_m0.10805_muoverpit_0.24_b4/,3.5364,0.10805,0.12566,0.12566,0,4,0.225722,109.837401759687,145.692854971334,0.100010367273256,nan,nan,-0.055181156509828,0.002768396158311
beta_3.5364_m0.10805_muoverpit_0.275_b4/,3.5364,0.10805,0.14399,0.14399,0,4,0.225722,125.859362401538,145.692854971334,0.100010367273256,nan,nan,-0.063966866185226,0.003455800267804
beta_3.4949_m0.12889_muoverpit_0.0_b5/,3.4949,0.12889,0,0,0,5,0.252354,0,130.317263090102,0.100018981655725,nan,nan,-0.019623186347964,0.00214382524898
beta_3.4949_m0.12889_muoverpit_0.1_b5/,3.4949,0.12889,0.05236,0.05236,0,5,0.252354,40.9370487489796,130.317263090102,0.100018981655725,nan,nan,-0.039249389138342,0.002252371324242
beta_3.4949_m0.12889_muoverpit_0.14_b5/,3.4949,0.12889,0.0733,0.0733,0,5,0.252354,57.3087408957259,130.317263090102,0.100018981655725,nan,nan,-0.040768657856613,0.002737027320624
beta_3.4949_m0.12889_muoverpit_0.17_b5/,3.4949,0.12889,0.08901,0.08901,0,5,0.252354,69.5914191968426,130.317263090102,0.100018981655725,nan,nan,-0.048702066276001,0.002513431960511
beta_3.4949_m0.12889_muoverpit_0.20_b5/,3.4949,0.12889,0.10472,0.10472,0,5,0.252354,81.8740974979592,130.317263090102,0.100018981655725,nan,nan,-0.045321927090993,0.002916450079043
beta_3.4949_m0.12889_muoverpit_0.22_b5/,3.4949,0.12889,0.11519,0.11519,0,5,0.252354,90.0599435713324,130.317263090102,0.100018981655725,nan,nan,-0.057779180662181,0.002864613749949
beta_3.4949_m0.12889_muoverpit_0.24_b5/,3.4949,0.12889,0.12566,0.12566,0,5,0.252354,98.2457896447055,130.317263090102,0.100018981655725,nan,nan,-0.054303206053819,0.003282785072265
beta_3.4949_m0.12889_muoverpit_0.275_b5/,3.4949,0.12889,0.14399,0.14399,0,5,0.252354,112.576884059694,130.317263090102,0.100018981655725,nan,nan,-0.063331527758309,0.002809539172141
beta_3.7927_m0.04521_muoverpit_0.0_b1/,3.7927,0.04521,0,0,0,1,0.112855,0,291.401201628989,0.100021001771594,-0.000304277419034,0.001483840757348,-0.006275610029058,0.003125004927563
beta_3.7927_m0.04521_muoverpit_0.1_b1/,3.7927,0.04521,0.05236,0.05236,0,1,0.112855,91.5389482078774,291.401201628989,0.100021001771594,-0.004562128936728,0.00142702118897,-0.009832297882526,0.003713157308715
beta_3.7927_m0.04521_muoverpit_0.14_b1/,3.7927,0.04521,0.0733,0.0733,0,1,0.112855,128.147534446857,291.401201628989,0.100021001771594,-0.005135614491915,0.001581764406545,-0.013993006441742,0.003980748858716
