"a, fm","m_{ud}, MeV","m_s, MeV","mu, MeV",\lambda/m_{ud},Ls,Lt,beta,m_qa,m_sa,nfluxes,mu5,mu_im_u,mu_im_d,mu_im_s,mu_isospin,lambda
0.0687,0.007701599,0.0271,0,0.0,24,4,4.036,,,,,,,,,
0.0687,0.007701599,0.0271,0,0.1,24,4,4.036,,,,,,,,,
0.0687,0.007701599,0.0271,0,0.2,24,4,4.036,,,,,,,,,
0.0687,0.007701599,0.0271,0,0.4,24,4,4.036,,,,,,,,,
0.0687,0.007701599,0.0271,0,0.6,24,4,4.036,,,,,,,,,
0.0572,0.00638016,0.0224,0,0.0,28,4,4.140,,,,,,,,,
0.0572,0.00638016,0.0224,0,0.1,28,4,4.140,,,,,,,,,
0.0572,0.00638016,0.0224,0,0.2,28,4,4.140,,,,,,,,,
0.0572,0.00638016,0.0224,0,0.4,28,4,4.140,,,,,,,,,
0.0572,0.00638016,0.0224,0,0.6,28,4,4.140,,,,,,,,,
0.0824,0.00939935,0.033,0,0.0,20,4,3.938,,,,,,,,,
0.0824,0.00939935,0.033,0,0.1,20,4,3.938,,,,,,,,,
0.0824,0.00939935,0.033,0,0.2,20,4,3.938,,,,,,,,,
0.0824,0.00939935,0.033,0,0.4,20,4,3.938,,,,,,,,,
0.0824,0.00939935,0.033,0,0.6,20,4,3.938,,,,,,,,,
